title,genres,vote_average,popularity
Firelight,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",7.0,5.57396
Modulations,"[{'id': 99, 'name': 'Documentary'}]",8.5,0.100482
Phoenix,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",5.2,1.643899
Under Capricorn,"[{'id': 18, 'name': 'Drama'}]",6.1,2.972892
The Paradine Case,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.3,3.983539
Lifeboat,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.3,7.773354
Shadow of a Doubt,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.5,8.007141
Saboteur,"[{'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",6.8,4.911826
Mr. & Mrs. Smith,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.7,2.761605
Suspicion,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.1,5.660476
Jamaica Inn,"[{'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",5.6,3.876608
The Lady Vanishes,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.5,6.078088
Young and Innocent,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.8,3.824884
Sabotage,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",6.7,6.514753
Secret Agent,"[{'id': 53, 'name': 'Thriller'}]",6.7,4.119907
The Man Who Knew Too Much,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.4,7.294135
Waltzes from Vienna,[],4.8,0.751957
Number Seventeen,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",5.3,1.962002
Rich and Strange,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.5,1.581063
The Skin Game,"[{'id': 18, 'name': 'Drama'}]",4.9,1.775534
Elstree Calling,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",3.8,1.453276
Juno and the Paycock,"[{'id': 18, 'name': 'Drama'}]",5.1,1.783776
Murder!,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.3,1.988389
The Manxman,"[{'id': 18, 'name': 'Drama'}]",5.4,1.680545
Blackmail,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.8,3.956703
Champagne,"[{'id': 35, 'name': 'Comedy'}]",5.6,0.560815
The Farmer's Wife,"[{'id': 18, 'name': 'Drama'}]",10.0,0.211754
Downhill,"[{'id': 18, 'name': 'Drama'}]",6.3,1.646779
Easy Virtue,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.4,0.957802
The Ring,"[{'id': 18, 'name': 'Drama'}]",6.1,1.986461
The Lodger: A Story of the London Fog,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.2,9.299853
The Pleasure Garden,"[{'id': 18, 'name': 'Drama'}]",5.7,0.753073
Rounders,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.9,8.783454
Cube,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",6.9,12.095263
Digging to China,"[{'id': 18, 'name': 'Drama'}]",6.5,1.486062
Let's Talk About Sex,[],0.0,0.028316
One Man's Hero,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",9.3,0.996778
Simon Birch,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.5,2.651408
Without Limits,"[{'id': 18, 'name': 'Drama'}]",6.4,3.643468
Seven Beauties,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",8.8,1.356974
Swept Away,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",7.4,1.614531
My Bodyguard,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.2,2.48642
Class,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5.8,3.169554
"Grandview, U.S.A.","[{'id': 18, 'name': 'Drama'}]",5.8,8.143655
Broadcast News,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.8,8.627019
The Allnighter,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4.3,0.612445
Working Girl,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5,8.318954
Stars & Bars,"[{'id': 35, 'name': 'Comedy'}]",5.3,0.40317
Married to the Mob,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",5.8,5.611184
Say Anything...,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.2,6.953646
My Blue Heaven,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",6.0,5.451623
Men Don't Leave,"[{'id': 18, 'name': 'Drama'}]",6.6,0.728037
The Cabinet of Dr. Ramirez,[],0.0,0.0375
Hero,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",6.3,5.584089
Toys,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",5.0,5.923774
Choices,"[{'id': 18, 'name': 'Drama'}]",0.0,0.304363
Young Doctors in Love,"[{'id': 35, 'name': 'Comedy'}]",5.2,1.768854
Parasite,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",5.1,0.577976
No Small Affair,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",5.4,8.895355
Blame It on Rio,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.9,7.643886
Wisdom,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",5.9,1.710851
One Crazy Summer,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",6.4,4.66789
About Last Night...,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.6,2.769589
The Seventh Sign,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",5.9,4.720395
We're No Angels,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",5.6,14.348459
Nothing but Trouble,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",5.0,10.39662
The Butcher's Wife,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",5.6,6.825983
Mortal Thoughts,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",5.3,5.133778
A Few Good Men,"[{'id': 18, 'name': 'Drama'}]",7.1,12.330249
Indecent Proposal,"[{'id': 18, 'name': 'Drama'}]",5.8,7.118123
Permanent Midnight,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.0,3.357962
One True Thing,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.2,2.586355
Rush Hour,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.8,11.840557
Lilian's Story,"[{'id': 18, 'name': 'Drama'}]",6.0,0.964894
Six-String Samurai,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",5.8,2.740989
A Soldier's Daughter Never Cries,"[{'id': 18, 'name': 'Drama'}]",7.0,0.85691
Somewhere in the City,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0.0,0.00765
Ronin,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 12, 'name': 'Adventure'}]",6.8,9.672094
Urban Legend,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.6,6.081401
Clay Pigeons,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.3,6.108589
Monument Ave.,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.3,2.258288
Pecker,"[{'id': 35, 'name': 'Comedy'}]",6.0,2.348919
The Sheltering Sky,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.4,13.798247
Bandit Queen,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",7.1,0.976798
If....,"[{'id': 18, 'name': 'Drama'}]",7.2,12.083475
The Fiendish Plot of Dr. Fu Manchu,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",4.4,0.886041
Them!,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",6.8,9.222871
The Thing,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",7.8,16.83125
The Player,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.9,6.230854
Stardust Memories,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.9,5.720538
Edward Scissorhands,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.5,17.612244
Overnight Delivery,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.8,2.305829
Shadrach,"[{'id': 18, 'name': 'Drama'}]",6.6,0.532294
Antz,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.0,16.025625
The Impostors,"[{'id': 35, 'name': 'Comedy'}]",6.0,2.533982
A Night at the Roxbury,"[{'id': 35, 'name': 'Comedy'}]",5.9,12.480685
What Dreams May Come,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",6.8,11.218378
Strangeland,"[{'id': 27, 'name': 'Horror'}]",4.7,2.31478
The Battle of the Sexes,"[{'id': 35, 'name': 'Comedy'}]",7.2,0.586584
The Producers,"[{'id': 35, 'name': 'Comedy'}]",7.3,7.433784
History of the World: Part I,"[{'id': 35, 'name': 'Comedy'}]",6.5,9.270492
My Cousin Vinny,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.3,7.922216
Nashville,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",7.2,9.042678
Love Is the Devil: Study for a Portrait of Francis Bacon,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",6.7,1.354102
Slam,"[{'id': 18, 'name': 'Drama'}]",6.7,0.555304
Holy Man,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",4.9,5.403617
One Tough Cop,[],3.0,1.082
Detroit 9000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",6.0,0.37055
The Inheritors,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",6.6,0.639285
The Mighty,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.1,6.78844
2010,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.6,7.482865
Children of a Lesser God,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.9,8.503064
The Elephant Man,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.9,8.405672
Beloved,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.9,1.557283
Bride of Chucky,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",5.5,13.018491
Practical Magic,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",6.3,7.757795
The Alarmist,"[{'id': 35, 'name': 'Comedy'}]",3.3,0.41735
Happiness,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.4,5.493697
Reach The Rock,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.5,0.158503
Apt Pupil,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.2,15.352714
Pleasantville,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",7.1,11.0874
Soldier,"[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}, {'id': 878, 'name': 'Science Fiction'}]",6.1,7.970031
The Cruise,"[{'id': 99, 'name': 'Documentary'}]",7.8,0.802931
Life Is Beautiful,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",8.3,39.39497
Orgazmo,"[{'id': 35, 'name': 'Comedy'}]",6.2,5.919725
Shattered Image,[],0.0,0.050217
Tales from the Darkside: The Movie,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",5.8,5.732016
Vampires,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.8,13.318722
American History X,"[{'id': 18, 'name': 'Drama'}]",8.2,18.157166
Hands on a Hard Body: The Documentary,"[{'id': 99, 'name': 'Documentary'}]",8.7,0.495079
Living Out Loud,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.4,1.575026
Belly,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.1,3.436535
Gods and Monsters,"[{'id': 18, 'name': 'Drama'}]",6.8,6.788021
The Siege,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.1,9.019114
The Waterboy,"[{'id': 35, 'name': 'Comedy'}]",5.9,9.461823
Elizabeth,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.2,7.566321
Velvet Goldmine,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",6.9,16.5293
I Still Know What You Did Last Summer,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",5.1,11.023042
I'll Be Home for Christmas,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.2,3.366048
Meet Joe Black,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",6.9,14.026744
Dancing at Lughnasa,"[{'id': 18, 'name': 'Drama'}]",6.0,1.157399
Hard Core Logo,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",6.4,0.88051
The Naked Man,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",6.0,0.942562
Runaway Train,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",7.0,15.236541
Desert Bloom,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",4.9,1.229428
The Stepford Wives,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",6.7,3.94547
The Pope of Greenwich Village,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",6.4,4.652503
Sid & Nancy,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",7.0,5.681582
Mona Lisa,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",6.7,3.095584
Heart Condition,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",5.1,5.531486
Nights of Cabiria,"[{'id': 18, 'name': 'Drama'}]",7.9,6.587353
The Big Chill,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.8,11.620392
Enemy of the State,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.7,12.978751
The Rugrats Movie,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",5.8,5.154373
A Bug's Life,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.8,16.869209
Celebrity,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.0,5.704352
Central Station,"[{'id': 18, 'name': 'Drama'}]",7.6,4.919716
Savior,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.1,3.699017
Waking Ned,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7.4,4.502687
The Celebration,"[{'id': 18, 'name': 'Drama'}]",7.7,6.064954
Pink Flamingos,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",6.2,5.738871
Glen or Glenda,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",4.6,1.750815
Godzilla,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",6.9,13.153272
Godzilla 1985,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.7,2.894009
King Kong vs. Godzilla,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.0,2.894775
King Kong,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",7.7,8.73274
King Kong,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",5.9,5.810716
King Kong Lives,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",4.6,2.663294
Desperately Seeking Susan,"[{'id': 35, 'name': 'Comedy'}]",6.0,8.679349
The Emerald Forest,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",7.0,19.520733
Fletch,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",6.8,6.040486
Fletch Lives,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",5.8,10.357224
Red Sonja,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",5.0,10.014248
Gung Ho,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.2,6.853782
The Money Pit,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.2,7.054864
A View to a Kill,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.0,12.840798
Lifeforce,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.2,13.561368
Police Academy,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",6.5,8.354488
Police Academy 2: Their First Assignment,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",5.6,9.021668
Police Academy 3: Back in Training,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",5.5,7.10005
Police Academy 4: Citizens on Patrol,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",4.9,5.952392
Police Academy 5: Assignment Miami Beach,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",4.7,10.278957
Police Academy 6: City Under Siege,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",4.7,5.612379
Babe: Pig in the City,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",5.3,6.229629
Home Fries,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4.8,2.312844
Ringmaster,"[{'id': 35, 'name': 'Comedy'}]",3.8,0.556435
Very Bad Things,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.2,10.432293
Steam: The Turkish Bath,"[{'id': 18, 'name': 'Drama'}]",6.4,1.74817
Psycho,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",4.8,6.715898
Little Voice,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.6,7.214017
A Simple Plan,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.9,5.765416
Jack Frost,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",5.5,7.372419
Star Trek: Insurrection,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",6.3,9.538877
The Prince of Egypt,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",6.9,11.898185
Rushmore,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.5,5.997054
Shakespeare in Love,"[{'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]",6.8,13.813155
Mass Appeal,"[{'id': 18, 'name': 'Drama'}]",7.5,0.582317
Miracle on 34th Street,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",7.4,5.114032
Santa Claus: The Movie,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",6.1,11.690532
Prancer,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",5.7,1.912324
Pale Rider,"[{'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",7.0,9.385078
Rambo: First Blood Part II,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",6.3,11.924462
First Blood,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",7.2,14.778884
Rambo III,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",5.7,11.624866
The Jewel of the Nile,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.0,10.571841
Romancing the Stone,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.6,6.827193
Cocoon,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",6.5,5.773277
Cocoon: The Return,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",5.4,12.167265
Rocky II,"[{'id': 18, 'name': 'Drama'}]",6.9,11.789813
Rocky III,"[{'id': 18, 'name': 'Drama'}]",6.6,11.673366
Rocky IV,"[{'id': 18, 'name': 'Drama'}]",6.6,10.25721
Rocky V,"[{'id': 18, 'name': 'Drama'}]",5.3,14.007329
Clue,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",7.1,7.720009
Young Sherlock Holmes,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.7,5.203452
Violets Are Blue,[],2.5,0.896878
